_id,plr_type,plr_median,plr_confidence_low,plr_confidence_high,length_years_rounded,power_dc,pv_climate_zone,technology1,technology2,type_mounting,tracking
2797,sensor,0.03,-0.19,0.23,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2798,sensor,-0.47,-0.8,-0.2,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2799,sensor,-0.62,-0.83,-0.4,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2800,sensor,-0.22,-0.54,0.08,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2801,sensor,-0.28,-0.62,-0.06,5,0.5-2 MW,T4,mono-Si,Al-BSF,Parking,FALSE
2802,sensor,-1.04,-1.33,-0.79,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2803,sensor,-0.57,-0.78,-0.41,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2804,sensor,-0.68,-0.93,-0.45,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2805,sensor,-0.83,-0.98,-0.63,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2806,sensor,-1.18,-1.46,-0.9,6,< 0.5 MW,T5,multi-Si,Al-BSF,Parking,FALSE
2807,sensor,-0.3,-0.43,-0.15,7,< 0.5 MW,T6,multi-Si,Al-BSF,Parking,FALSE
2808,sensor,-2.18,-2.59,-1.81,7,0.5-2 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2809,sensor,-2.01,-2.28,-1.68,9,0.5-2 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2810,sensor,-1.99,-2.32,-1.56,9,0.5-2 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2811,sensor,-0.67,-0.9,-0.35,10,< 0.5 MW,T4,mono-Si,n-IBC,Roof,FALSE
2812,sensor,-0.14,-0.52,0.12,10,< 0.5 MW,T4,mono-Si,n-IBC,Roof,FALSE
2813,sensor,-0.89,-1.21,-0.55,10,< 0.5 MW,T3,mono-Si,n-IBC,Roof,FALSE
2814,sensor,-0.68,-0.92,-0.45,10,< 0.5 MW,T3,mono-Si,n-IBC,Roof,FALSE
2815,sensor,0.34,0.09,0.62,10,0.5-2 MW,T3,mono-Si,n-IBC,Roof,FALSE
2816,sensor,0.39,0.11,0.64,10,0.5-2 MW,T3,mono-Si,n-IBC,Roof,FALSE
2817,clearsky,-1.27,-2.26,-0.28,5,> 2 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2818,clearsky,-2.17,-3.46,-1.19,5,> 2 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2819,clearsky,-1.44,-2.63,-0.57,5,> 2 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2820,clearsky,-2.68,-3.85,-1.55,5,> 2 MW,T3,multi-Si,Al-BSF,Roof,FALSE
2821,nsrdb,-1.63,-2.09,-1.31,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
2822,nsrdb,-1.27,-1.81,-0.65,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
2823,nsrdb,-1.45,-1.81,-0.97,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
2824,nsrdb,-2.09,-2.49,-1.67,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
2825,nsrdb,-0.99,-1.4,-0.47,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
2826,nsrdb,-1.35,-1.69,-0.77,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
2827,nsrdb,-1.56,-2.08,-1.24,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
2828,nsrdb,-1.83,-2.36,-1.44,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
2829,nsrdb,-1.91,-2.32,-1.52,4,< 0.5 MW,T5,mono-Si,Al-BSF,Parking,FALSE
